cadi,pub,paper,lumi,category,name,model,comment,finalstate,crossSection,eTotm,eTotp,eStatm,eStatp,eSystm,eSystp,theoryCrossSection,eTheorym,eTheoryp,flag
SMP-20-014,2110.11231,Submitted to JHEP,137,DB,84,WZ,13 TeV,,50600,2718.46,2718.46,800,800,2598.08,2598.08,50070,1000,1100,1
SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,86,WZ0j,8 TeV,,58.7098,7.92566,7.92566,7.0888,7.0888,3.54472,3.54472,52.8922,0.0181764,0.0181764,2
SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,87,WZj,8 TeV,,19.1579,4.48497,4.48497,4.03516,4.03516,1.95766,1.95766,22.3606,0.109058,0.109058,2
SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,88,WZ2j,8 TeV,,7.67044,2.69967,2.69967,2.50834,2.50834,0.998214,0.998214,3.37829,0.0363528,0.0363528,2
SMP-12-007,1211.4890,JHEP 01 (2013) 063,4.9,DB,90,ZZ,7 TeV,,6240,962.945,962.945,860,860,433.2,433.2,6460,171.19,171.19,1
SMP-13-005,1406.0113,PLB 740 (2015) 250,19.6,DB,91,ZZ,8 TeV,,7700,807.752,807.752,500,500,634.4,634.4,7960,222.88,222.88,1
SMP-19-001,2009.01186,EPJC 81 (2021) 200,137,DB,92,ZZ,13 TeV,,17200,768.115,768.115,300,300,707.107,707.107,16500,500,600,1
SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,94,ZZ0j,8 TeV,,16.3,1.58205,1.58205,1.2,1.2,0.984886,1.07703,13.2,0.7,0.9,2
SMP-17-005,1806.11073,PLB 789 (2019) 19,35.9,DB,95,ZZ0j,13 TeV,,28.3,2.21425,2.21425,1.3,1.3,1.74642,1.83848,23.6,0.9,0.8,2
SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,96,ZZj,8 TeV,,3.2,0.678233,0.678233,0.6,0.6,0.316228,0.316228,4,0.3,0.5,2
SMP-17-005,1806.11073,PLB 789 (2019) 19,35.9,DB,97,ZZj,13 TeV,,8.1,1.14891,1.14891,0.8,0.8,0.824621,0.824621,9.7,0.4,0.4,2
SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,98,ZZ2j,8 TeV,,0.8,0.316228,0.316228,0.3,0.3,0.1,0.1,1.2,0.1,0.2,2
SMP-17-005,1806.11073,PLB 789 (2019) 19,35.9,DB,99,ZZ2j,13 TeV,,3,0.648074,0.591608,0.5,0.5,0.412311,0.316228,4,0.2,0.3,2
SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,100,ZZ3j,8 TeV,,0.14,0.100499,0.100499,0.1,0.1,0.01,0.01,0.3,0.1,0.1,2
SMP-17-005,1806.11073,PLB 789 (2019) 19,35.9,DB,101,ZZ3j,13 TeV,,1.3,0.447214,0.5,0.4,0.4,0.2,0.3,1.7,0.1,0.1,2
SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,102,VVV,13 TeV,,1010,233.238,258.07,200,210,120,150,992.1,10,10,1
SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,103,WWW,13 TeV,,590,198.494,226.274,150,160,130,160,509.4,10,10,1
SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,104,WWZ,13 TeV,,300,107.703,130,100,120,40,50,354,3.5,3.5,1
SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,105,WZZ,13 TeV,,200,111.803,174.643,110,160,20,70,91.6,0.92,0.92,1
SMP-19-014,2006.11191,PRL 125 151802 (2020),137,TB,106,ZZZ,13 TeV,,200,200,0,200,0,0,0,37.1,0.37,0.37,1
SMP-13-009,1404.4619,PRD 90 032008 (2014),19.3,TB,107,WV$\gamma$,8 TeV,,311,311,0,311,0,0,0,91.6,21.7,21.7,1
SMP-15-008,1704.00366,JHEP 10 (2017) 072,19.4,TB,108,W$\gamma\gamma$,8 TeV,,4.9,2.12838,2.12838,1.4,1.4,1.60312,1.60312,4.76,0.53,0.53,1
SMP-19-013,2105.12780,JHEP 10 (2021) 174,19.4,TB,109,W$\gamma\gamma$,13 TeV,,13.63,4.44285,4.47805,1.89,1.93,4.0208,4.04079,18.7,0.123693,0.123693,1
SMP-15-008,1704.00366,JHEP 10 (2017) 072,19.4,TB,110,Z$\gamma\gamma$,8 TeV,,12.7,2.3,2.3,1.4,1.4,1.82483,1.82483,12.95,1.47,1.47,1
SMP-19-013,2105.12780,JHEP 10 (2021) 174,19.4,TB,111,Z$\gamma\gamma$,13 TeV,,5.41,0.892244,0.865794,0.55,0.58,0.702567,0.642806,5.96,0.245153,0.245153,1
SMP-13-012,1607.06975,JHEP 11 (2016) 147,19.3,VBS,112,VBF W,8 TeV,,420,98.9949,98.9949,40,40,90.5538,90.5538,500,28.2843,28.2843,1
SMP-17-011,1903.04040,EPJC 80 (2020) 43,35.9,VBS,113,VBF W,13 TeV,,6230,621.691,621.691,120,120,610,610,6810,266.833,261.725,1
FSQ-12-019,1305.7389,JHEP 10 (2013) 101,5.0,VBS,114,VBF Z,7 TeV,,154,58.5662,58.5662,24,24,53.4228,53.4228,166,6,6,1
FSQ-12-035,1410.3153,EPJC 75 (2015) 66,19.7,VBS,115,VBF Z,8 TeV,,174,42.72,42.72,15,15,40,40,208,18,18,1
SMP-16-018,1712.09814,EPJC 78 (2018) 589,35.9,VBS,116,VBF Z,13 TeV,,534,60.407,60.407,20,20,57,57,543,23.7697,23.0868,1
SMP-20-013,2112.05259,Submitted to PLB,138,VBS,117,EW WV,13 TeV,,1895.5,482.582,501.13,267.6,267.6,379.1,423.7,2230,120.83,94.3398,1
FSQ-13-008,1604.04464,JHEP 08 (2016) 119,19.7,VBS,119,ex. $\gamma\gamma\rightarrow$WW,8 TeV,,21.6,9.2,9.2,9.2,9.2,9.2,9.2,12.4,1,1,1
SMP-14-011,1612.09256,JHEP 06 (2017) 106,19.7,VBS,120,EW qqW$\gamma$,8 TeV,,10.8,5.33479,5.33479,4.1,4.1,3.41321,3.41321,6.1,1.21655,1.21655,1
SMP-21-011,https://cds.cern.ch/record/2809554,,138,VBS,121,EW qqW$\gamma$,13 TeV,,19.2,3.95813,3.95813,2.3,2.3,3.1305,3.3121,21.728,3.4,3.4,1
SMP-21-0011,2205.05711,Submitted to PLB,138,VBS,122,EW os WW,13 TeV,,10.2,2,2,1.3362,1.3362,1.5198,1.5198,9.1,0.6,0.6,1
SMP-13-015,1410.6315,PRL 114 051801 (2015),19.4,VBS,123,EW ss WW,8 TeV,,4,2.43772,2.43772,2.2,2.2,1.05,1.05,5.8,1.2,1.2,1
SMP-17-004,1709.05822,PRL 120 081801 (2018),137,VBS,124,EW ss WW,13 TeV,,3.98,0.446542,0.446542,0.37,0.37,0.25,0.25,3.31,0.47,0.47,1
SMP-14-018,1702.03025,PLB 770 (2017) 380,19.7,VBS,125,EW qqZ$\gamma$,8 TeV,,1.86,0.940957,1.10009,0.75,0.89,0.568243,0.646607,1.26,0.12083,0.12083,1
