label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
WW2jet13,SMP-18-004,2009.00119,PRD 102 092001 (2020),35.9,DB,WW$ \! \geq \!$2j,13,,3.9984e+06,3.94442e+06,3.94442e+06,705600,705600,3.8808e+06,3.8808e+06,8.91e+06,3.16998e+06,3.16998e+06
WW0jet136,SMP-24-001,https://cds.cern.ch/record/2892658,,34.8,DB,WW$ \! + $0j,13.6,,520320,12854.7,12854.7,7317,7317,10569,10569,526176,12180,12180
WW1jet136,SMP-24-001,https://cds.cern.ch/record/2892658,,34.8,DB,WW$\:\!$1j,13.6,,197559,10937.8,10937.8,8130,8130,7317,7317,207872,10556,10556
WW2jet136,SMP-24-001,https://cds.cern.ch/record/2892658,,33.8,DB,WW$ \! \geq \!$2j,13.6,,96747,9198.05,9198.05,6504,6504,6504,6504,77952,8932,8932
WZ5,SMP-20-012,2107.01137,PRL 127 (2021) 191801,0.302,DB,WZ,5.02,,6.4e+06,2.33452e+06,2.33452e+06,2.1e+06,2.5e+06,300000,500000,1.13e+07,200000,160000
WZ,SMP-14-014,1609.05721,EPJC 77 (2017) 236,4.9,DB,WZ,7,,2.014e+07,1.79246e+06,1.79246e+06,1.32e+06,1.32e+06,1.21264e+06,1.21264e+06,1.981e+07,350000,320000
WZ8,SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,WZ,8,,2.409e+07,1.79246e+06,1.79246e+06,870000,870000,1.73819e+06,1.73819e+06,2.449e+07,430000,420000
WZ13,SMP-20-014,2110.11231,JHEP 07 (2022) 032,137,DB,WZ,13,,5.06e+07,2.71846e+06,2.71846e+06,800000,800000,2.59808e+06,2.59808e+06,5.08e+07,1e+06,1.1e+06
WZ0jet8,SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,WZ$ \! + $0j,8,,58709.8,7925.66,7925.66,7088.8,7088.8,3544.72,3544.72,52892.2,18.1764,18.1764
WZ1jet8,SMP-14-014,1609.05721,EPJC 77 (2017) 236,19.6,DB,WZ$\:$j,8,,19157.9,4484.97,4484.97,4035.16,4035.16,1957.66,1957.66,22360.6,109.058,109.058
