label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
96,SMP-17-005,1806.11073,PLB 789 (2019) 19,19.7,DB,ZZ$ \geq \!$3j,8,,0.14,0.100499,0.100499,0.1,0.1,0.01,0.01,0.3,0.1,0.1
97,SMP-22-001,https://cds.cern.ch/record/2859350,PAS-SMP-22-001,138.0,DB,ZZ$\geq \!$3j,13,,1.95069,0.372494,0.372494,0.372494,0.372494,0.0,0.0,1.29393,0.0686173,0.0686173
98,SMP-19-014,2006.11191,PRL 125 151802 (2020),137.0,TB,VVV,13,,1010.0,233.238,258.07,200.0,210.0,120.0,150.0,992.1,10.0,10.0
99,SMP-19-014,2006.11191,PRL 125 151802 (2020),137.0,TB,WWW,13,,590.0,198.494,226.274,150.0,160.0,130.0,160.0,509.4,10.0,10.0
100,SMP-19-014,2006.11191,PRL 125 151802 (2020),137.0,TB,WWZ,13,,300.0,107.703,130.0,100.0,120.0,40.0,50.0,354.0,3.5,3.5
101,SMP-19-014,2006.11191,PRL 125 151802 (2020),137.0,TB,WZZ,13,,200.0,111.803,174.643,110.0,160.0,20.0,70.0,91.6,0.92,0.92
102,SMP-19-014,2006.11191,PRL 125 151802 (2020),137.0,TB,ZZZ,13,,200.0,200.0,0.0,200.0,0.0,0.0,0.0,37.1,0.37,0.37
103,SMP-13-009,1404.4619,PRD 90 032008 (2014),19.3,TB,WV$\gamma$,8,,311.0,311.0,0.0,311.0,0.0,0.0,0.0,91.6,21.7,21.7
104,SMP-22-006,https://cds.cern.ch/record/2853299,PAS-SMP-22-006,138.0,TB,WW$\gamma$,13,,6.0,1.67631,1.67631,1.0,1.0,1.34536,1.34536,4.61,0.343657,0.343657
105,SMP-15-008,1704.00366,JHEP 10 (2017) 072,19.4,TB,W$\gamma\gamma$,8,,4.9,2.12838,2.12838,1.4,1.4,1.60312,1.60312,4.76,0.53,0.53
106,SMP-19-013,2105.12780,JHEP 10 (2021) 174,137.0,TB,W$\gamma\gamma$,13,,13.63,4.44285,4.47805,1.89,1.93,4.0208,4.04079,18.7,0.123693,0.123693
107,SMP-15-008,1704.00366,JHEP 10 (2017) 072,19.4,TB,Z$\gamma\gamma$,8,,12.7,2.3,2.3,1.4,1.4,1.82483,1.82483,12.95,1.47,1.47
108,SMP-19-013,2105.12780,JHEP 10 (2021) 174,137.0,TB,Z$\gamma\gamma$,13,,5.41,0.892244,0.865794,0.55,0.58,0.702567,0.642806,5.96,0.0608276,0.0608276
109,SMP-13-012,1607.06975,JHEP 11 (2016) 147,19.3,VBS,VBF W,8,,420.0,98.9949,98.9949,40.0,40.0,90.5538,90.5538,500.0,28.2843,28.2843
110,SMP-17-011,1903.04040,EPJC 80 (2020) 43,35.9,VBS,VBF W,13,,6230.0,621.691,621.691,120.0,120.0,610.0,610.0,6810.0,266.833,261.725
111,FSQ-12-019,1305.7389,JHEP 10 (2013) 101,5.0,VBS,VBF Z,7,,154.0,58.5662,58.5662,24.0,24.0,53.4228,53.4228,166.0,6.0,6.0
112,FSQ-12-035,1410.3153,EPJC 75 (2015) 66,19.7,VBS,VBF Z,8,,174.0,42.72,42.72,15.0,15.0,40.0,40.0,208.0,18.0,18.0
113,SMP-16-018,1712.09814,EPJC 78 (2018) 589,35.9,VBS,VBF Z,13,,534.0,60.407,60.407,20.0,20.0,57.0,57.0,543.0,23.7697,23.0868
114,SMP-20-013,2112.05259,PLB 834 (2022) 137438,138.0,VBS,EW WV,13,,1895.5,482.582,501.13,267.6,267.6,379.1,423.7,2230.0,120.83,94.3398
115,FSQ-13-008,1604.04464,JHEP 08 (2016) 119,19.7,VBS,ex. $\gamma\gamma\rightarrow$WW,8,,21.6,9.2,9.2,9.2,9.2,9.2,9.2,12.4,1.0,1.0
116,SMP-14-011,1612.09256,JHEP 06 (2017) 106,19.7,VBS,EW qqW$\gamma$,8,,10.8,5.33479,5.33479,4.1,4.1,3.41321,3.41321,6.1,1.21655,1.21655
117,SMP-21-011,2212.12592,PRD 108 032017,138.0,VBS,EW qqW$\gamma$,13,,23.5,4.79445,4.79445,2.8,2.8,3.80132,3.98246,26.384,2.3,2.3
118,SMP-21-011,2205.05711,PLB 841 (2023) 137495,138.0,VBS,EW os WW,13,,10.2,2.0,2.0,1.3362,1.3362,1.5198,1.5198,9.1,0.6,0.6
119,SMP-13-015,1410.6315,PRL 114 051801 (2015),19.4,VBS,EW ss WW,8,,4.0,2.43772,2.43772,2.2,2.2,1.05,1.05,5.8,1.2,1.2
120,SMP-19-012,2005.01173,PLB 809 (2020) 135710,137.0,VBS,EW ss WW,13,,3.98,0.446542,0.446542,0.37,0.37,0.25,0.25,3.31,0.47,0.47
121,SMP-14-018,1702.03025,PLB 770 (2017) 380,19.7,VBS,EW qqZ$\gamma$,8,,1.86,0.940957,1.10009,0.75,0.89,0.568243,0.646607,1.26,0.12083,0.12083
122,SMP-20-016,2106.11082,PRD 104 072001 (2021),137.0,VBS,EW qqZ$\gamma$,13,,5.21,0.764199,0.764199,0.52,0.52,0.56,0.56,4.34,0.266833,0.266833
123,SMP-19-012,2005.01173,PLB 809 (2020) 135710,137.0,VBS,EW qqWZ,13,,1.81,0.41,0.41,0.39,0.39,0.14,0.14,1.24,0.18,0.18
124,SMP-20-001,2008.07013,PLB 812 (2020) 135992,137.0,VBS,EW qqZZ,13,,0.33,0.104403,0.117047,0.1,0.11,0.03,0.04,0.278,0.017,0.017
125,TOP-20-004,2112.09114,JHEP 04 (2022) 144,0.302,TOP,$\mathrm{t\bar{t}}$,5.02,,63000.0,5080.35,5080.35,4100.0,4100.0,3000.0,3000.0,66800.0,3100.0,2900.0
126,TOP-13-004,1603.02303,JHEP 08 (2016) 029,5.0,TOP,$\mathrm{t\bar{t}}$,7,,173600.0,6232.98,6253.0,2100.0,2100.0,5868.56,5889.82,177300.0,10816.7,10153.3
127,TOP-13-004,1603.02303,JHEP 08 (2016) 029,19.7,TOP,$\mathrm{t\bar{t}}$,8,,244900.0,8553.95,9089.0,1400.0,1400.0,8438.6,8980.53,252900.0,14520.7,13336.0
128,TOP-20-001,2108.02803,PRD 104 (2021) 092013,137.0,TOP,$\mathrm{t\bar{t}}$,13,,791000.0,25218.3,25245.7,560.0,560.0,25212.1,25239.5,832000.0,46000.0,40000.0
129,TOP-22-012,2303.10680,JHEP 08 (2023) 204,1.21,TOP,$\mathrm{t\bar{t}}$,13.6,,882000.0,30479.5,30479.5,23000.0,23000.0,20000.0,20000.0,921000.0,37000.0,29000.0
130,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}} = \!$0j,13,,94000.0,7280.11,7280.11,2000.0,2000.0,7000.0,7000.0,100000.0,9000.0,9000.0
131,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$1j,13,,74000.0,10198.0,10198.0,2000.0,2000.0,10000.0,10000.0,72960.0,8630.0,8630.0
132,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$2j,13,,35100.0,5787.05,5787.05,1000.0,1000.0,5700.0,5700.0,36930.0,4900.0,4900.0
133,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$3j,13,,12300.0,3157.53,3157.53,600.0,600.0,3100.0,3100.0,15170.0,2490.0,2490.0
134,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}} \! \geq \! $4j,13,,5800.0,2009.98,2009.98,200.0,200.0,2000.0,2000.0,8060.0,1970.0,1970.0
135,TOP-20-003,2012.09225,PLB 820 (2021) 136565,41.5,TOP,$\mathrm{t\bar{t}}\:$2c,13,,8000.0,1702.94,1702.94,1100.0,1100.0,1300.0,1300.0,8900.0,1500.0,1500.0
136,TOP-20-003,2012.09225,PLB 820 (2021) 136565,35.9,TOP,$\mathrm{t\bar{t}}\:$2b,13,,4090.0,646.607,646.607,340.0,340.0,550.0,550.0,3390.0,660.0,660.0
137,TOP-11-021,1209.4533,JHEP 12 (2012) 035,1.6,TOP,t$_{t-ch}$,7,,67200.0,6100.0,6100.0,3700.0,3700.0,4847.68,4847.68,65900.0,1900.0,2400.0
138,TOP-12-038,1403.7366,JHEP 06 (2014) 090,5.0,TOP,t$_{t-ch}$,8,,83600.0,7749.19,7749.19,2300.0,2300.0,7400.0,7400.0,87200.0,2416.61,3440.93
139,TOP-16-003,1610.00678,PLB 72 (2017) 752,2.3,TOP,t$_{t-ch}$,13,,232000.0,32015.6,32034.4,13000.0,13000.0,29257.5,29278.0,217000.0,7720.1,9055.39
